Loading,PC1.v,PC2.v
PIK3R3,0.051094612,-0.004718209
TARDBP,0.050277301,-0.009017945
TMBIM4,0.044717252,-0.001714562
DPYSL5,0.043643183,-0.010299906
INSM1,0.042317596,-0.00465011
PIK3R2,0.042132492,-0.005646668
TIMM10B,0.040839364,-0.003694462
PSMA1,0.039599202,-0.002811683
DLL3,0.039546213,0.003838257
ASCL1,0.03941312,0.004543699
FOXG1,0.039390833,0.005936276
ZIC2,0.038464261,0.004370376
SOX11,0.038355126,0.011519945
ZIC5,0.038123905,0.001613393
LHX2,0.036747725,0.005740701
DLK1,0.036573313,-0.001523497
PI4K2B,0.036501172,-0.0016421
SEZ6,0.036196243,-0.001928726
ACTL6B,0.035961848,-0.000124409
PCSK1,0.035710619,0.004580315
CACNA1A,0.035677772,0.003158214
PAPD7,0.035629877,-0.008087279
CPLX2,0.035387721,0.000164802
XKR7,0.035160915,0.00199361
ZNF286A,0.034854545,-0.002292936
ST18,0.034612513,0.000652715
INA,0.03452979,-0.003168334
CELF3,0.034269399,-0.001429253
TAGLN3,0.033941582,0.000845576
PAGR1,0.03381798,-0.003439771
NRSN1,0.033780822,-0.004737938
ONECUT2,0.033770369,-0.005163737
ELAVL3,0.033508638,-0.01225029
POU4F1,0.033247607,0.011073025
CDK5R2,0.032737246,0.002360303
SCG3,0.032602467,0.001289066
DCX,0.032499654,-0.005246034
BARX1,0.032349687,0.012663255
FAM57B,0.032288727,-0.001768996
C17orf100,0.032278947,-0.003092251
UNC13A,0.03224713,0.004327863
CHRNB2,0.032156056,-0.001682323
ST8SIA3,0.031306976,-0.002544573
NEUROD1,0.031267111,0.005446352
MAST1,0.030865372,-0.000859028
ELAVL4,0.030829125,0.002460057
KIF1A,0.030788576,-0.025183362
ACSL6,0.030671685,-0.002223823
SPATA13,0.030617304,-0.002130821
KIF18B,0.030578355,0.014661046
PRAME,0.03052098,0.009205615
NKX2-2,0.030344335,-0.005381857
BTBD17,0.030245239,0.003554115
VGF,0.030054545,-0.002141204
POU3F2,0.030007118,0.007682612
SCN3A,0.029975531,0.00354695
ASPM,0.029881437,0.013204712
KCNK9,0.029661855,0.0068838
DLX6,0.029543301,-0.006606085
ZDHHC22,0.029458845,0.000164584
AMH,0.029356743,0.000638696
MYT1,0.029228411,-0.003927339
FSD1,0.029197591,0.003581074
NOL4,0.029177318,-0.005908015
SULT4A1,0.029110775,0.000608836
SYT4,0.028929176,-0.011231775
KIF14,0.028768651,0.01390116
HES6,0.028729949,0.008211207
SEZ6L,0.028728511,-0.006906582
TMEM151B,0.028670074,-0.005658967
CHGA,0.028663784,-0.025203835
NUF2,0.028659848,0.013003683
DLGAP5,0.028654484,0.016109185
SYT5,0.028653911,0.004719098
TOP2A,0.028597458,0.01391201
TROAP,0.028592976,0.011467593
FOXN4,0.028566067,-0.001028905
KCNA1,0.028558235,0.004718065
CAMK2N2,0.028534163,-0.004230141
CACNA1E,0.028454165,0.009127784
TMEFF1,0.028429518,-0.000637538
HEPACAM2,0.028139366,-0.009987727
SIX3,0.028134937,0.011367089
TERT,0.028133897,0.007355273
SOX1,0.028082731,0.004114904
HJURP,0.028046593,0.01228426
TUBB2B,0.028042044,0.00262646
KCNH5,0.028032579,-0.007276645
KCNH7,0.027959865,0.002105907
ST8SIA5,0.027947301,-0.005448363
KCNC1,0.027933498,-0.010801756
BEST3,0.027919225,-0.016600558
GRM4,0.027823547,-0.003110246
DGKB,0.027811517,-0.002492033
CENPA,0.027793152,0.014349205
E2F7,0.027734601,0.006990481
CCNE2,0.027734314,0.00920122
RGS5,0.027730205,-0.007496342
CENPF,0.027700466,0.012074522
RTBDN,0.027688504,0.006876151
GRP,0.027623119,0.009260986
MYBL2,0.027582906,0.016533516
UBE2C,0.027519387,0.01560791
RALYL,0.027476972,-0.007766112
KCNB2,0.027388109,0.001970002
NEK2,0.027380632,0.015320917
IDS,0.027250279,-0.000942921
FAM64A,0.027158718,0.010698799
DEPDC1B,0.027112585,0.010931099
SHOX2,0.027099785,0.008029585
PBK,0.027098316,0.012598475
STXBP5L,0.027088605,-0.031909467
CAMKV,0.027043472,0.001630829
SRRM4,0.027008846,-0.004728749
NGB,0.026984495,-0.000150782
RIMS2,0.026890493,-0.021250671
DMRTA2,0.026840092,0.011164785
MELK,0.026827311,0.014229993
CABP7,0.026769078,0.001009116
IQGAP3,0.026739184,0.013761245
RUNDC3A,0.026652436,-0.003522349
CELSR3,0.02664344,0.003854648
KIF4A,0.026638777,0.01271429
PTPRN,0.02653199,0.00130022
GPR6,0.026493832,0.003161189
4-Mar,0.02646692,0.004853251
RAD54L,0.026459695,0.008256164
ZBTB8B,0.0263565,-0.010830649
SLC7A14,0.026301789,-0.010161183
SYT14,0.026237677,-0.007857407
NEIL3,0.026232607,0.013865751
GPC2,0.026187329,0.001330613
ADCYAP1,0.026187264,0.007299009
TPX2,0.02617589,0.01358687
TMEM179,0.026153012,-0.011980024
GNG4,0.026148233,-0.024447882
ESPL1,0.026129987,0.011318546
UNC79,0.026109994,-0.001613607
CCDC150,0.026098426,0.009574566
GTSE1,0.026076596,0.012633203
CKAP2L,0.025907455,0.013308486
CACNA1B,0.025784191,-0.019047799
BIRC5,0.025665986,0.014237242
SLC6A17,0.025615763,-0.004050466
EXO1,0.025562543,0.012147673
SKA1,0.025543659,0.011532269
NMU,0.025523034,0.011673715
11-Mar,0.025514491,-0.00328761
E2F2,0.025497911,0.012420383
PEX5L,0.025492333,-0.002039919
GAD2,0.025461678,0.002138438
TRIM9,0.025440854,-0.002777661
UHRF1,0.025433479,0.010308735
ZMAT4,0.025428277,-0.00952463
CDC25C,0.025396723,0.010491879
B4GALNT4,0.025329191,-0.014069482
SVOP,0.02529139,-0.00733936
FAM111B,0.025226838,0.008477165
AMER3,0.0252208,-0.008231857
DEPDC1,0.025202738,0.003016846
DLX1,0.025201526,-0.015546174
CLSPN,0.025199765,0.013448373
GAD1,0.025190414,-0.001619565
ECSCR,0.025161691,0.001797609
MAGEA3,0.025086844,0.008801293
SLC6A5,0.025086352,0.003093616
BUB1B,0.025054748,0.009578833
FBXO43,0.025000449,0.002549383
NCAPG,0.024968511,0.011809504
CDC20,0.024935495,0.013548279
FAM72C,0.024819559,0.013349171
TTK,0.024762201,0.006521639
KIF2C,0.024754455,0.01068075
NKAIN2,0.024710569,-0.001077294
SPC25,0.024599225,0.013052517
RRM2,0.024576038,0.016180851
SYT13,0.024476395,-0.01426286
ATP1A3,0.024472387,0.007683316
RNF183,0.024457536,0.002019636
DPF1,0.024396261,0.003486403
HRH3,0.024394451,-0.012457492
AURKB,0.024360784,0.012595517
KIF5A,0.024357895,-0.006119888
C11orf71,0.024355165,-0.003203212
GPRIN1,0.024281108,0.010267017
FAM72D,0.024237001,0.014503126
CLN3,0.024224392,-0.00628568
EZH2,0.024212088,0.00857
POLQ,0.024204135,0.008120202
MCM10,0.024143955,0.012446165
NEUROD4,0.024066794,-0.000737179
IGF2BP3,0.024061919,0.02794381
MRPS17,0.024033032,0.000404459
CHGB,0.024016183,-0.016779896
HOXB9,0.023948191,-0.008332033
MKI67,0.023937503,0.011429411
CDCA2,0.023908061,0.011604309
BRSK2,0.023863694,-0.00541552
RDM1,0.023855256,0.006750545
NUSAP1,0.023849825,0.010039122
TRIM67,0.023778019,0.001499485
SKA3,0.023727761,0.009952716
KIFC1,0.023700102,0.011293344
TMEM145,0.023606288,-0.001806781
EPHA8,0.023547583,-0.004431814
KIF20A,0.023541538,0.013040854
FAM72B,0.023511178,0.012430308
LHFPL5,0.023444866,0.006198715
TMEM63C,0.02341774,0.004292543
C12orf56,0.023399294,-0.007193622
GP1BB,0.023357326,0.001158192
ZNF695,0.023337685,0.001822752
KCNH8,0.023323579,-0.00539503
RIMBP2,0.023309941,-0.012751605
CDKN3,0.023300084,0.011167332
SPAG5,0.023269876,0.008670249
MYT1L,0.023236368,-0.001046563
CDC45,0.023233194,0.01099255
SLC35D3,0.023229952,-0.000724868
DLGAP3,0.023218867,0.00401088
CNIH2,0.023203901,0.005733179
E2F8,0.023143401,0.012166042
SHD,0.023121107,0.004071343
KIF15,0.023097049,0.007021992
NPPA,0.023050684,0.00159126
MPPED1,0.022950776,-0.016585143
NEUROG2,0.022936995,0.002583776
DLX2,0.02291451,-0.007070219
MNX1,0.022911056,0.00073116
FOXM1,0.022900226,0.011386037
RIPPLY3,0.022895877,-0.002201649
CDCA8,0.022872264,0.010407482
MAGEA6,0.022857835,0.007491493
GPR19,0.022855467,0.011771757
CDKN2A,0.022852353,0.011426776
IGFBPL1,0.022834429,0.01117179
BUB1,0.022758707,0.013864737
SPC24,0.022706925,0.008219428
GRM8,0.022669322,0.003606058
BEX1,0.022645525,-0.010866019
TEX15,0.022640775,0.001003944
NCAPH,0.022620002,0.012703229
HTR3A,0.022605039,0.015246601
ATOH7,0.022594646,0.001633869
DDC,0.022552498,0.005207715
OPRD1,0.022516966,0.005986902
WDR62,0.022488703,0.009724922
ATCAY,0.022452109,-0.032619144
ASF1B,0.022380986,0.011862212
TCERG1L,0.022343372,-0.016126137
CDCA3,0.02229852,0.00655465
CCNA2,0.022284748,0.010781891
HMMR,0.022234184,0.0119355
PPFIA4,0.022208688,0.002311056
CEP55,0.022195443,0.016286888
PLK1,0.022174442,0.01235057
HGFAC,0.02217146,-0.002084449
HOXB8,0.022150176,0.000769507
RAB3B,0.022138335,-0.032543941
PROX1,0.022119299,0.005145062
HMX2,0.022110891,-0.004104619
CENPI,0.022100721,0.009245741
NEUROG3,0.022098062,0.004616565
CDCA5,0.022056001,0.010644905
KCNK16,0.021999468,0.004547837
ESCO2,0.021993632,0.01039758
CCNB2,0.021964147,0.007630982
DRD2,0.021959542,-0.010589527
KCNK12,0.021955954,-0.001455327
NAT16,0.021951468,-0.00174909
NXPH1,0.021945514,0.000924354
GDAP1L1,0.021907903,-0.003517659
MAGEA2,0.021836073,0.006028475
MKRN3,0.021832189,0.003081984
NRXN1,0.021825266,-0.018322543
MEX3A,0.021784766,0.000985483
FOXD1,0.021784237,0.000764458
UCHL1,0.021766214,0.003258078
MMP12,0.021755387,0.022912239
CALB1,0.021746471,0.002316992
CER1,0.021694182,0.001616372
GRIK3,0.021666884,-0.014033378
ORC6,0.021656906,0.00625546
CBLN2,0.021641844,-0.01515955
DIRAS2,0.021549417,-0.003151699
PRC1,0.021457175,0.006894781
MGAT5B,0.021416188,0.007126889
CBX2,0.021412626,0.008372462
CCDC177,0.021353333,0.001625591
CALCB,0.021349124,-3.34E-05
TPH1,0.021337548,-0.007230035
PAX5,0.021336613,0.008453707
CENPE,0.021329469,0.006304302
SCN8A,0.021325237,-0.006482534
CNTNAP5,0.021284863,-0.007313768
PIF1,0.021272951,0.003506984
HIST1H2BH,0.021272093,0.000453755
PTTG1,0.021262228,0.012884039
ADAMTS18,0.021223721,-0.002879442
UBE2T,0.021206199,0.007569108
ACBD7,0.021182813,0.002820129
T,0.021082431,0.005643728
UNC5A,0.021056075,-0.003252379
USP41,0.02105275,0.005853921
ADAMTS14,0.021048,0.012702813
FAM163B,0.021042547,-0.000809729
DSCAM,0.021036937,0.003346338
CRYBA2,0.021016126,-0.014234501
SCRT1,0.020927834,-0.00225894
CAMK2B,0.020915813,-0.024332639
PHF21B,0.02087807,-0.025576726
GHRH,0.020862773,0.002944236
CDK5R1,0.020862117,0.005037344
DDX25,0.020839544,0.002898605
OGDHL,0.020828812,-0.020403247
KCNK10,0.020795412,-0.002426137
CDK1,0.020777904,0.011501062
BRIP1,0.020755574,0.005733013
C16orf59,0.020754111,0.002947349
ALX3,0.020733693,0.004032252
ADD2,0.020597525,0.003033096
KIRREL2,0.02059273,0.007845239
APC2,0.020572948,-0.003780606
GRM2,0.020567549,-0.000861855
GFY,0.020566472,0.005119516
RAB39A,0.020558624,0.00779055
XRCC2,0.020552346,0.00274134
RGS7,0.020530574,0.003553785
TICRR,0.020528812,0.003184368
EMX1,0.020511565,0.000700914
CENPU,0.02049833,0.007015635
VIL1,0.020485846,0.011464633
ERCC6L,0.020465686,0.004641267
ATP2B3,0.020465034,-0.000363389
CENPK,0.02045345,0.010214732
LRTM2,0.020428799,-0.002427671
SCGN,0.020377663,-0.02280873
PRDM13,0.020350448,0.005222722
PDIA2,0.02032249,-0.003113234
KIF11,0.020262521,0.007695854
OTOG,0.020256958,0.003751427
RCOR2,0.020222324,0.002040117
COL22A1,0.020195036,-0.012057648
VWA5B2,0.020149393,-0.010704582
ARHGAP11A,0.020133736,0.008725025
NEURL1,0.020123581,-0.0045422
ISL1,0.020108589,-0.028605577
FUT9,0.020108177,-0.013270403
SLC17A6,0.020100338,0.002517701
CELF4,0.020085495,0.002823192
ANLN,0.020078382,0.011577795
DLX5,0.020070156,-0.011120211
